Name,Location,Short Description,YC Batch,Company URL,Founders
Reshape Biotech,"Copenhagen, Denmark",Robots that automate the everyday tasks of microbiologists.,W21,"",""
PipeBio,"Aarhus, Denmark",PipeBio is a SaaS bioinformatics platform to develop antibody drugs.,W21,"",""
Kilobaser,"Graz, Styria, Austria",Desktop DNA Printer. The Nespresso Machine for DNA.,W21,"",""
My NextDerma,"Zapopan, Jal., Mexico",Dermatology telehealth app for LatAm,W21,"",""
Triomics,"San Francisco, CA, USA",Intelligent automation in Oncology Research and Care,W21,"",""
Nuntius Therapeutics,"London, England, United Kingdom",Cell-specific genetic medicines,W21,"",""
Forcyte Biotechnologies,"Los Angeles, CA, USA","Discover drugs that control how much cells ""squeeze"" to treat disease",W21,"",""
Recover,"San Diego, CA, USA",Government-funded online addiction treatment,W21,"",""
Rejoy Health,"Palo Alto, CA, USA",AI tools and LLM for Healthcare,W21,"",""
Zealth,"Bengaluru, KA, India",Software for remote monitoring of cancer patients,W21,"",""
Lamar Health,"Palo Alto, CA, USA",The Flatiron for Disease,W21,"",""
Biodock,"Austin, TX, USA",Cloud AI microscopy automation,W21,"",""
Phoenix,"Toronto, ON, Canada",Canada's digital health clinic for men,W21,"",""
Redcliffe Lifetech,"Delhi, DL, India",Redcliffe Labs is India's Largest Omni-channel Diagnostics platform ,W21,"",""
InpharmD,"Atlanta, GA, USA","We provide a curated, evidence- based answer to any clinical question.",W21,"",""
Veera Health,"MH, India",We treat women with Polycystic Ovary Syndrome in India,W21,"",""
Auricle,"Mountain View, CA, USA",Neurostimulation implant to restore hearing & speech understanding,W21,"",""
Measured,"New York, NY, USA",Telemedicine platform for chronic conditions like obesity,W21,"",""
Anima,"London, England, United Kingdom",The next generation care enablement platform,W21,"",""
Quadrant Health,"New York, NY, USA",Analyzing EHR and messaging data to predict disease before it occurs.,W21,"",""
Dashlabs.ai,"Manila, NCR, Philippines","Software for medical laboratories, clinics, and vets",W21,"",""
Nirva,"London, England, United Kingdom",Evidence-based Traditional and Complementary Medicine brand,W21,"",""
Juniper,"New York, NY, USA",Admin automation for behavioral health,W21,"",""
Terapify,"Mexico City, CDMX, Mexico",Online therapy by video call,W21,"",""
Axle Health,"Los Angeles, CA, USA",Scheduling and workforce management SaaS for home healthcare providers,W21,"",""
Gradia Health,"San Francisco, CA, USA","Integrated, high touch healthcare â€” at scale",W21,"",""
Valink Therapeutics,"London, England, United Kingdom",Discovering bispecific antibody drug-conjugates (BsADC) against cancer,W21,"",""
Wyndly,"New York, NY, USA",Life's better without allergies,W21,"",""
Curvenote,"Calgary, AB, Canada",Communication and publishing tools for scientists,W21,"",""
Moichor,"San Francisco, CA, USA",AI Powered Animal Diagnostics,W21,"",""
Nourish,"New York, NY, USA",Telehealth dietitians covered by insurance,W21,"",""
MedMe Health,"Toronto, ON, Canada",Software for pharmacies to move beyond dispensing,W21,"",""
Quadrant Eye,"San Francisco, CA, USA",Breaking new ground in online eyecare. ,W21,"",""
Snazzy,"Hyderabad, Telangana, India",Making clear aligners accessible and affordable in India,W21,"",""
Trestle Biotherapeutics,"San Diego, CA, USA",Bioengineered kidneys for patients with kidney failure,W21,"",""
Serna Bio,"Ontario, CA, USA",Mapping the druggable transcriptome ,W21,"",""
Bristle,"San Francisco, CA, USA","At-home oral health testing, coaching & care",W21,"",""
Furmacy,"San Francisco, CA, USA",Digital e-prescribing software for veterinarians.,W21,"",""
Entelexo Biotherapeutics,"Irvine, CA, USA",Creating a New Class of Drugs to Address Incurable Autoimmune Diseases,W21,"",""
BeWell Digital,"Coimbatore, TN, India",Building the operating system for diagnosis.,W21,"",""
